"Municipality ID","Municipality","Year","GINI","Income Rate"
6004,"Coquimatlán",2015,0.393698990345001,0.158343002200127
6005,"Cuauhtémoc",2010,0.465844005346298,0.130080997943878
6005,"Cuauhtémoc",2015,0.381157994270325,0.184634998440742
6006,"Ixtlahuacán",2010,0.499343007802963,0.0809789970517159
6006,"Ixtlahuacán",2015,0.379676997661591,0.129146993160248
6007,"Manzanillo",2010,0.440129995346069,0.111822001636028
6007,"Manzanillo",2015,0.382358998060226,0.151096001267433
6008,"Minatitlán",2010,0.478776007890701,0.10801599919796
6008,"Minatitlán",2015,0.389468997716904,0.135873004794121
6009,"Tecomán",2010,0.450969994068146,0.117546997964382
6009,"Tecomán",2015,0.3957200050354,0.165447995066643
6010,"Villa de Álvarez",2010,0.480939000844955,0.105209000408649
6010,"Villa de Álvarez",2015,0.385071992874146,0.140593007206917
7001,"Acacoyagua",2010,0.443897992372513,0.107987001538277
7001,"Acacoyagua",2015,0.364138007164001,0.14835000038147
7002,"Acala",2010,0.433694005012512,0.121997997164726
7002,"Acala",2015,0.412858009338379,0.119751997292042
7003,"Acapetahua",2010,0.398717999458313,0.15496900677681
7003,"Acapetahua",2015,0.361638993024826,0.143071994185448
7004,"Altamirano",2010,0.545323014259338,0.0760089978575706
7004,"Altamirano",2015,0.521329998970032,0.0693600028753281
7005,"Amatán",2010,0.381911009550095,0.155323997139931
7005,"Amatán",2015,0.364089995622635,0.135086998343468
7006,"Amatenango de la Frontera",2010,0.469628006219864,0.0921719968318939
7006,"Amatenango de la Frontera",2015,0.380744993686676,0.147596001625061
7007,"Amatenango del Valle",2010,0.468724995851517,0.101240999996662
7007,"Amatenango del Valle",2015,0.429242014884949,0.0884630009531975
7008,"Ángel Albino Corzo",2010,0.437332987785339,0.0935280025005341
7008,"Ángel Albino Corzo",2015,0.446049988269806,0.097292996942997
7009,"Arriaga",2010,0.412115007638931,0.13578699529171
7009,"Arriaga",2015,0.416723996400833,0.139118000864983
7010,"Bejucal de Ocampo",2010,0.439924985170364,0.0782070010900497
7010,"Bejucal de Ocampo",2015,0.384597986936569,0.136730000376701
7011,"Bella Vista",2010,0.395294010639191,0.129706993699074
7011,"Bella Vista",2015,0.365563005208969,0.136925995349884
7012,"Berriozábal",2010,0.471787005662918,0.129904001951218
7012,"Berriozábal",2015,0.444162011146545,0.142544999718666
7013,"Bochil",2010,0.512515008449554,0.0874390006065369
7013,"Bochil",2015,0.537838995456696,0.083356000483036
7014,"El Bosque",2010,0.418516010046005,0.0866219997406006
7014,"El Bosque",2015,0.402278006076813,0.0890650004148483
7015,"Cacahoatán",2010,0.467934995889664,0.121132999658585
7015,"Cacahoatán",2015,0.44132998585701,0.138380005955696
7016,"Catazajá",2010,0.428440988063812,0.0972350016236305
7016,"Catazajá",2015,0.38502499461174,0.1266950070858
7017,"Cintalapa",2010,0.452486991882324,0.109944999217987
7017,"Cintalapa",2015,0.440486013889313,0.124799996614456
7018,"Coapilla",2010,0.471486002206802,0.0905819982290268
7018,"Coapilla",2015,0.428568005561829,0.1103890016675
7019,"Comitán de Domínguez",2010,0.461405992507935,0.113491997122765
7019,"Comitán de Domínguez",2015,0.45024898648262,0.122883997857571
7020,"La Concordia",2010,0.409278988838196,0.105596996843815
7020,"La Concordia",2015,0.389465987682343,0.113495998084545
7021,"Copainalá",2010,0.428631991147995,0.113388001918793
7021,"Copainalá",2015,0.426059991121292,0.12576000392437
7022,"Chalchihuitán",2010,0.369237989187241,NA
7022,"Chalchihuitán",2015,0.424535989761353,0.0966650024056435
7023,"Chamula",2010,0.400920003652573,0.100261002779007
7023,"Chamula",2015,0.353958010673523,0.129979997873306
7024,"Chanal",2010,0.464592009782791,NA
7024,"Chanal",2015,0.43113699555397,0.0729070007801056
7025,"Chapultenango",2010,0.416480004787445,0.117363996803761
7025,"Chapultenango",2015,0.370476990938187,0.134617999196053
7026,"Chenalhó",2010,0.398434996604919,0.099931001663208
7026,"Chenalhó",2015,0.452380001544952,0.0669939965009689
7027,"Chiapa de Corzo",2010,0.471028000116348,0.119473002851009
7027,"Chiapa de Corzo",2015,0.444606989622116,0.129267007112503
7028,"Chiapilla",2010,0.396517992019653,0.155395999550819
7028,"Chiapilla",2015,0.345174998044968,0.146053001284599
7029,"Chicoasén",2010,0.398804008960724,0.150885999202728
7029,"Chicoasén",2015,0.381451994180679,0.154605001211166
7030,"Chicomuselo",2010,0.453406006097794,0.0792910009622574
7030,"Chicomuselo",2015,0.400205999612808,0.1119220033288
7031,"Chilón",2010,0.41720899939537,0.0868650004267693
7031,"Chilón",2015,0.410564005374908,0.0858599990606308
7032,"Escuintla",2010,0.4271300137043,0.117086000740528
7032,"Escuintla",2015,0.410732001066208,0.121489003300667
